item_name,item_price,area,post_id,post_date,post_time,updated_date,update_time
 SAMSUNG GALAXY NOTE-5 -- BLACK -- BRAND NEW,625,LA,5458071787,2/21/2016,10:20,2/27/2016,12:59
SAMSUNG GALAXY NOTE-5 -- GOLD -- BRAND NEW,625,LA,5458057984,2/21/2016,10:11,2/27/2016,12:58
Slim Armor Case- Galaxy Samsung Note 5,12,LA,5463231127,2/24/2016,15:08,2/27/2016,12:55
Samsung Galaxy s6 (factory unlocked) TRADE OK,375,LA,5451528703,2/16/2016,21:43,2/27/2016,12:32
KATE SPADE BACKUP BATTERY CASE FOR SAMSUNG GALAXY S5,20,Canoga,5467388326,2/27/2016,11:19,2/27/2016,13:17
samsung galaxy s6 edge + gold,550,Canoga,5467498317,2/27/2016,12:25,2/27/2016,12:26
METRO PCS BLU STUDIO 5+5 4G ANDROID NEW FIRST MONTH OF SERVICE FREE,125,Canoga,5436941112,2/6/2016,16:12,2/27/2016,12:19
Brand New Samsung Galaxy Note 5  32GB Black,550,Canoga,5467477328,2/27/2016,12:12,,
Samsung Galaxy edge plus,575,Canoga,5448372658,2/14/2016,20:35,2/27/2016,12:03
Samsung Galaxy s6,450,Canoga,5467412400,2/27/2016,11:33,,
Samsung Galaxy s6 edge plus gold 32gb,500,Canoga,5467403916,2/27/2016,11:28,,
Samsung Galaxy s6 edge plus gold 32gb,500,Canoga,5467403214,2/27/2016,11:28,,
NEW Earhugger PowerPod 4-In-1 Cell Phone Charger,10,Canoga,5458037643,2/21/2016,9:58,2/27/2016,11:37
T-mobile SIM card all three sizes,10,Encino,5459956866,2/22/2016,13:54,2/27/2016,11:33
new htc m7..sprint and boost,135,Encino,5443948433,2/11/2016,14:03,2/27/2016,11:28
Droid turbo,150,Encino,5467404781,2/27/2016,11:29,,
Nokia Lumia 830 At&t Fully Unlocked for any carrier,160,Encino,5462106481,2/23/2016,22:19,2/27/2016,11:19
Black Smart Watch U8 Bluetooth!!!!!!!!!!!!,40,Encino,5451049223,2/16/2016,14:22,2/27/2016,11:07
TMOBILE SAMSUNG NOTE 5 32GB FOR SALE,650,Encino,5467314376,2/27/2016,10:37,,
"Alcatel idol 3 brand new 5.5"" screen unlocked",220,Downey,5456747598,2/20/2016,10:22,2/27/2016,10:55
Samsung Note 3 Otterbox  Batteries & Charger,50,LAX,5458436615,2/21/2016,14:26,2/27/2016,10:49
Samsung Note 3 Otterbox  Batteries & Charger,50,LAX,5458436615,2/21/2016,14:26,2/27/2016,10:49
(New & Sealed) Google Nexus 6  Official Wireless Charger & Spigen Case,300,LAX,5467317779,2/27/2016,10:39,2/27/2016,12:01
BRAND NEW LG G3 D722J 8GB GSM UNLOCKED CELL PHONE,110,LAX,5467111261,2/27/2016,8:45,,
Sony Xperia C4 Black **New in Box*,125,LAX,5467298110,2/27/2016,10:28,2/27/2016,10:32
Brand New Factory Unlocked LG G4  ORIGINAL RECEIPT INCLUDED,1,LAX,5463464347,2/24/2016,18:15,2/27/2016,10:19
LCD Fix Samsung Galaxy S5 Same Day OEM,150,Burbank,5424625169,1/29/2016,9:44,2/27/2016,9:59
Motorola Nexus 6 Unlocked Cellphone  32GB BRAND NEW!,280,Covina,5448352430,2/14/2016,20:04,2/27/2016,9:58
Samsung Galaxy S6 SM-G920T 32GB Unlocked w/Extras Brand NEW!,480,Covina,5448352846,2/14/2016,20:04,2/27/2016,9:58
Samsung Galaxy S6 BRAND NEW - UNLOCKED - CLEAN ESN,435,Covina,5463269244,2/24/2016,15:35,2/27/2016,9:56
Screen Fix Here for Samsung Galaxy S5 LCD,149,Glendale,5452107495,2/17/2016,9:45,2/27/2016,9:55
Fastest Android TV Box Fully Loaded Live TV  Movies  TV Shows  Sports,130,Glendale,5467157414,2/27/2016,9:11,,
Fastest Android TV Box Fully Loaded Live TV  Movies  TV Shows  Sports,130,Glendale,5467156036,2/27/2016,9:10,2/27/2016,9:12
