make,model,price,year,mileage,condition,city,state,country,condition2,vin,make,model,item_ID
Chevrolet,Corvette Base Coupe 2-Door,15999,2005,120413,Used,Riverside,California,United States,Used,1G1YY24U955113811,Chevrolet,Corvette,1.82046E+11
Chevrolet,Corvette Base Coupe 2-Door,29250,2008,28327,Used,Costa Mesa,California,United States,Used,1G1YY26W985106103,Chevrolet,Corvette,3.31787E+11
Ford,F-250 Platinum FX4,63000,2014,12560,Used,Santa Ana,California,United States,Used,1FT7W2BT3EEA15750,Ford,F-250,1.82048E+11
Chevrolet,Corvette 2 DOOR COUPE,14500,1968,60000,Used,San Diego,California,United States,Used,194378S422290,Chevrolet,Corvette,1.21914E+11
Ford,Deluxe 2 door Coupe,79995,1940,64000,Used,Glendora,California,United States,Used ,Used ,“This vehicle is in almost new condition with only minor wear and tear.”,“This vehicle is in almost new condition with only minor wear and tear.”,3.01894E+11
Lexus,Other Base Coupe 2-Door,74888,2015,2909,Used,Costa Mesa,California,United States,Used,JTHHP5BC6F5000677,Lexus,Other,1.7212E+11
Ford,F-250 CrewCab,66000,2015,11000,Used,Los Angeles,California,United States,Used,1ft7w2btxfec08740,Ford,F-250,2.62325E+11
Ford,Mustang GT Convertible 2-Door,14995,2005,47532,Used,Sun City,California,United States,Used,1zvft85h855229497,Ford,Mustang,1.82046E+11
Chevrolet,Corvette Base Coupe 2-Door,32885,2007,17859,Certified pre-owned,Costa Mesa,California,United States,Certified pre-owned,1G1YY25U675108857,Chevrolet,Corvette,1.41922E+11
Ford,F-250 Super Cab,13500,1995,98184,Used,Redlands,California,United States,Used,1fthx25f1skb88865,Ford,F-250,1.72126E+11
Chevrolet,Other Business coupe,12500,1939,0,Used,Palm Desert,California,United States,Used,14JA1212407,Chevrolet,Other,2.31875E+11
Lamborghini,Gallardo Base Coupe 2-Door,79888,2004,41864,Used,Corona,California,United States,Used,ZHWGU11S34LA00727,Lamborghini,Gallardo,1.82036E+11
Ford,F-100 2 DOOR,2250,1966,27200,Used,Montebello,California,United States,Used,F10yr834945,Ford,F-100,2.31868E+11
Ferrari,Other Base Coupe 2-Door,349999,2015,1845,Used,Costa Mesa,California,United States,Used,ZFF74UFA5F0209951,Ferrari,Other,3.61501E+11
Chevrolet,Tracker Base Sport Utility 2-Door,2500,2000,98500,Used,Palm Springs,California,United States,Used ,Used ,"“This Tracker was used a tow vehicle behind my RV (easy to tow -- only weighs 2700 pounds). I sold the RV -- so I no longer need the Tracker. It is a very handy, versatile, small SUV -- great gas mileage and goes almost anywhere in 4x4 drive (Consumer Reports 4-Star Rating) -- Low 98500 miles (well maintained)”","“This Tracker was used a tow vehicle behind my RV (easy to tow -- only weighs 2700 pounds). I sold the RV -- so I no longer need the Tracker. It is a very handy, versatile, small SUV -- great gas mileage and goes almost anywhere in 4x4 drive (Consumer Reports 4-Star Rating) -- Low 98500 miles (well maintained)”",1.11933E+11
Chevrolet,Corvette 2dr Converti,20995,2006,75566,Used,Long Beach,California,United States,Used ,Used ,"“This car features a head up display, Premium sound and leather seating. Drives very good and offers much power and speed. Ready for the road!”","“This car features a head up display, Premium sound and leather seating. Drives very good and offers much power and speed. Ready for the road!”",1.72117E+11
Chevrolet,Corvette Base Hatchback 2-Door,8995,1994,55091,Used,Rancho Mirage,California,United States,Used ,Used ,“Well taken care of low miles car. A few wear related items on a 20 year old low miles vehicle. Always well taken care of with lots of performance upgrades. See photos for details and feel free to call or email me with any questions you may have. Awesome performance car.”,“Well taken care of low miles car. A few wear related items on a 20 year old low miles vehicle. Always well taken care of with lots of performance upgrades. See photos for details and feel free to call or email me with any questions you may have. Awesome performance car.”,2.8196E+11
 Porsche,Cayman S Coupe 2-Door ,60000,2014,13800,Used,Sun Valley,California,United States,Used,WP0AB2A88EK191922,Porsche,Cayman,1.72128E+11
Chevrolet,Other Pickups C 20,9000,1968,38650,Used,Los Angeles,California,United States,Used ,Used ,“Needs some paint touch up and and tiny dent repaired. Bench could be re-upholstered. I mag wheel missing. Needs a new radio.”,“Needs some paint touch up and and tiny dent repaired. Bench could be re-upholstered. I mag wheel missing. Needs a new radio.”,1.41924E+11
Ford,Coupe 2-DR,40000,1932,9993,Used,Los Alamitos,California,United States,Used ,Used ,“Beautifully Restored!”,“Beautifully Restored!”,1.62005E+11
Ford,F-250 2 DOORS,2000,1968,267094,Used,Lynwood,California,United States,Used,F25YRD58286,Ford,F-250,2.31867E+11
Chevrolet,Corvette Z51 Coupe 2-Door,59500,2014,12556,Used,Long Beach,California,United States,Used,1G1YM2D73E5104236,Chevrolet,Corvette,1.61997E+11
