"model","price","year","mileage"
"Chevrolet: Corvette Base Coupe 2-Door","13,100.00","2005","120,413"
"Chevrolet: Corvette Base Coupe 2-Door","13,700.00","2004","30,912"
"Ford: Mustang 2dr Converti","1,375.00","1999","158,802"
" Chevrolet: Camaro Z28 Coupe 2-Door ","4,050.00","1999","120,000"
"Toyota: Tacoma 4WD","9,800.00","1980","111,300"
"Chevrolet: Corvette Base Coupe 2-Door","29,250.00","2008","28,327"
"Chevrolet: Corvette Z06 Coupe 2-Door","32,100.00","2006","20,000"
"Ford: F-250 Platinum FX4","63,000.00","2014","12,560"
"Chevrolet: Corvette Convertible 2-Door","4,200.00","1989","70,150"
"Chevrolet: Corvette 2 DOOR COUPE","14,500.00","1968","60,000"
"Ford: Deluxe 2 door Coupe","68,000.00","1940","64,000"
"Lexus: Other Base Coupe 2-Door","74,888.00","2015","2,909"
"Ford: Mustang GT Convertible 2-Door","10,000.00","2005","47,532"
"Ford: F-250 CrewCab","66,000.00","2015","11,000"
"Ford: Mustang Premium Coupe 2-Door","16,000.00","2009","43,400"
"Ford: Other 2 DOOR HARDTOP","39,900.00","1947","12,870"
"Ford: F-250 Ranger","2,025.00","1976","95,886"
"Chevrolet: Corvette Base Coupe 2-Door","32,885.00","2007","17,859"
"Ford: F-250 Super Cab","5,000.00","1995","98,184"
"Lamborghini: Gallardo Base Coupe 2-Door","79,888.00","2004","41,864"
"Ford: F-100 2 DOOR","995.00","1966","27,200"
"Ford: F-250","6,000.00","1976","1"
"Ford: Mustang Base","13,100.00","1965","1"
"New listing Chevrolet: Other Business coupe","12,500.00","1939","0"
"Pontiac: GTO Base Coupe 2-Door","13,000.00","2005","42,100"
"Ferrari: Other Base Coupe 2-Door","349,999.00","2015","1,845"
"Ford: Other 3 Window Coupe","22,100.00","1935","8,299"
"New listing Chevrolet: Tracker Base Sport Utility 2-Door","1,025.00","2000","98,500"
"New listing Toyota: Tacoma TRD Pro Extended Cab Pickup 4-Door","5,100.00","2015","8,000"
"Chevrolet: Corvette 2dr Converti","20,995.00","2006","75,566"
"Chevrolet: Corvette Base Hatchback 2-Door","8,995.00","1994","55,091"
" Porsche: Cayman S Coupe 2-Door ","59,999.95","2014","13,800"
"New listing  Ford: Mustang SHELBY GT 500 ","10,700.00","1968","7,000"
"Chevrolet: Other Pickups C 20","1,000.00","1968","38,650"
"New listing Ford: Coupe 2-DR","40,000.00","1932","9,993"
" Acura: NSX Base Coupe 2-Door ","23,200.00","1991","202,510"
"Ford: F-250 2 DOORS","2,000.00","1968","267,094"
"Chevrolet: Corvette Z51 Coupe 2-Door","59,500.00","2014","12,556"
"New listing Ford: F-100 base","4,000.00","1964","109,041"
"New listing Ford: F-250 super cab","5,000.00","2002","156,636"
"Ford: Mustang Shelby GT350","87,991.00","2016","10"
" Chevrolet: Other Pickups 3100 Standard Cab Pickup 2-Door ","92,300.00","1955","600"
" Porsche: 911 Base coupe 2 door ","26,100.00","1974","16,795"
"Maserati: Other Base Coupe 2-Door","35,000.00","2009","53,095"
"New listing Mercedes-Benz: E-Class Base Sedan 4-Door","3,200.00","1997","153,001"
"Cadillac: ELR Base Coupe 2-Door","38,997.00","2014","7,109"
"Other Makes: 2 door Roadster","5,490.00","1980","15,000"
"New listing Jeep: Other Renegade Sport Utility 2-Door","6,200.00","1978","64,010"
"Toyota: Tacoma SR5","8,000.00","2001","109,000"
"Ford: Other 3 window coupe","39,975.00","1932","100,000"
"Chevrolet: Other Pickups 4X4","2,400.00","1980","63,000"
"Lamborghini: Other LP610-4 Coupe 2-Door","196,100.00","2015","3,685"
"Dodge: Other 4dr Quad Cab","610.00","1998","145,083"
" Chevrolet: C-10 Base ","10,100.00","1962"," "
"Chevrolet: Other Pickups deluxe","22,500.00","1953","13,129"
"Ford: F-150","5,500.00","1996","120,500"
"Ford: Mustang GT","42,000.00","2012","35,500"
"Ford: F-150 SVT Raptor Crew Cab Pickup 4-Door","41,500.00","2011","48,362"
" Chevrolet: Corvette 2-DOOR CONVERTIBLE ","45,000.00","1956","19,450"
"Chevrolet: Corvette 2LT Data Rec","25,500.00","2015","13"
"Chevrolet: Corvette Base Convertible 2-Door","12,995.00","2000","94,703"
"Ford: Mustang LX","6,000.00","1990","109,000"
